,order_id,order_date,order_priority,order_quantity,sales,discount,ship_mode,profit,unit_price,shipping_cost,first_name,last_name,region,customer_segment,product_category,product_sub-category,product_name,product_container,product_base_margin,ship_date,birthdate,Manager,Status
0,3,2010-10-13,Low,06/01/1900,261.54,0.04,Regular Air,-213.25,38.94,35.0,Muhammed,MacIntyre,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,2010-10-20,1970-08-04,Chris,Not Returned
1,293,2012-10-01,High,18/02/1900,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry,French,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,2012-02-10,1969-05-14,Chris,Not Returned
2,293,2012-10-01,High,27/01/1900,244.57,0.01,Regular Air,46.71,8.69,2.99,Barry,French,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2012-03-10,1969-12-08,Chris,Not Returned
3,483,2011-07-10,High,30/01/1900,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,Clay,Rozendal,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,2011-12-07,1972-02-15,Chris,Not Returned
4,515,2010-08-28,Not Specified,19/01/1900,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos,Soltero,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2010-08-30,1972-08-08,Chris,Not Returned
5,515,2010-08-28,Not Specified,21/01/1900,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos,Soltero,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,2010-08-30,1969-05-08,Chris,Not Returned
6,613,2011-06-17,High,12/01/1900,93.54,0.03,Regular Air,-54.04,7.3,7.72,Carl,Jackson,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2011-06-17,1969-06-12,Chris,Not Returned
7,613,2011-06-17,High,22/01/1900,905.08,0.09,Regular Air,127.7,42.76,6.22,Carl,Jackson,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,0.0,2011-06-18,1968-09-05,Chris,Not Returned
8,643,2011-03-24,High,21/01/1900,2781.82,0.07,Express Air,-695.26,138.14,35.0,Monica,Federle,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,0.0,2011-03-25,1968-07-07,Chris,Not Returned
9,678,2010-02-26,Low,13/02/1900,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy,Badders,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,2010-02-26,1968-07-07,Chris,Returned
10,807,2010-11-23,Medium,14/02/1900,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola,Schneider,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,2010-11-24,1968-06-02,Chris,Not Returned
11,807,2010-11-23,Medium,01/02/1900,124.56,0.04,Regular Air,-14.33,3.95,2.0,Neola,Schneider,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,2010-11-24,1967-04-11,Chris,Not Returned
12,868,2012-06-08,Not Specified,01/02/1900,716.84,0.0,Regular Air,134.72,21.78,5.94,Carlos,Daly,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2012-09-06,1972-01-18,Chris,Not Returned
13,868,2012-06-08,Not Specified,31/01/1900,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos,Daly,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,2012-10-06,1972-06-08,Chris,Not Returned
14,933,2012-08-04,Not Specified,15/01/1900,80.61,0.02,Regular Air,-4.72,5.28,2.99,Claudia,Miner,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,2012-04-08,1972-09-05,Chris,Not Returned
15,995,2011-05-30,Medium,15/02/1900,1815.49,0.03,Regular Air,782.91,39.89,3.04,Neola,Schneider,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,2011-05-31,1983-02-27,Chris,Not Returned
16,998,2009-11-25,Not Specified,16/01/1900,248.26,0.07,Regular Air,93.8,15.74,1.39,Allen,Rosenblatt,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,2009-11-26,1983-04-28,Chris,Not Returned
